region_cofecyt;provincia;gran_rubro;2021;2022;2023;2024
METROPOLITANA;Buenos Aires;Material de transporte terrestre;4982.33;6162.92;6572.16;6709.97
METROPOLITANA;Buenos Aires;Cereales;4961.45;5626.25;3061.79;4048.5
METROPOLITANA;Buenos Aires;Desperdicios de la industria alimentaria;3387.16;3514.55;2924.23;3108.94
METROPOLITANA;Buenos Aires;Grasas y aceites;2647.16;3144.52;2026.02;2552.18
METROPOLITANA;Buenos Aires;Carburantes;1378.64;2361.16;2001.79;2283.66
CENTRO;Córdoba;Cereales;3676.62;4102.79;2416.86;2685.05
CENTRO;Córdoba;Desperdicios de la industria alimentaria;2321.27;2564.54;1375.12;2069.38
CENTRO;Córdoba;Grasas y aceites;1461.79;1506.45;854.18;1266.73
CENTRO;Córdoba;Semillas y frutos oleaginosos;1559.94;1614.91;1027.43;1243.94
CENTRO;Córdoba;Material de transporte terrestre;1080.77;1194.88;1198.57;1225.11
NOA;Catamarca;Productos químicos y conexos;79.08;0;199.29;231.27
NOA;Catamarca;Piedras, metales preciosos y sus manufacturas;33.77;36.21;35.82;51.59
NOA;Catamarca;Cereales;23.42;22.12;12.69;20.35
NOA;Catamarca;Grasas y aceites;3.33;4.06;15.33;14.18
NOA;Catamarca;Semillas y frutos oleaginosos;7.85;7.55;3.3;6.21
NEA;Chaco;Cereales;185.66;249.81;150.52;176.24
NEA;Chaco;Semillas y frutos oleaginosos;73.49;134.71;47.13;90.16
NEA;Chaco;Extractos curtientes y tintóreos;64.15;44.78;51.28;58.57
NEA;Chaco;Fibras de algodón;62.25;59.57;20.09;38.09
NEA;Chaco;Desperdicios de la industria alimentaria;3.78;5.06;0;5.4
PATAGONIA;Chubut;Petróleo crudo;889.01;1245.81;1252.71;1737.31
PATAGONIA;Chubut;Metales comunes y sus manufacturas;557.49;679.9;798.2;985.12
PATAGONIA;Chubut;Pescados y mariscos sin elaborar;735.34;516.99;558.52;659.33
PATAGONIA;Chubut;Lanas elaboradas;82.7;85.74;57.98;62.44
PATAGONIA;Chubut;Pescados y mariscos elaborados;14.25;15.72;16.34;18.82
METROPOLITANA;Ciudad Autónoma de Buenos Aires;Productos químicos y conexos;234.94;239.65;250.66;292.64
METROPOLITANA;Ciudad Autónoma de Buenos Aires;Pieles y cueros;17.56;19.11;17.49;22.57
METROPOLITANA;Ciudad Autónoma de Buenos Aires;Máquinas y aparatos, material eléctrico;14.26;14.5;16.13;18.22
METROPOLITANA;Ciudad Autónoma de Buenos Aires;Papel, cartón, impresos y publicaciones;7.6;8.85;7.01;6.8
METROPOLITANA;Ciudad Autónoma de Buenos Aires;Azúcar, cacao y artículos de confitería;3.43;4.22;4.17;4.25
NEA;Corrientes;Cereales;118.03;112.33;97.3;94.91
NEA;Corrientes;Productos químicos y conexos;40.81;29.45;23.28;25.78
NEA;Corrientes;Café, té, yerba mate y especias;14.8;17.22;16.56;18.3
NEA;Corrientes;Frutas frescas;32.47;20.39;15.72;17.45
NEA;Corrientes;Preparados de hortalizas, legumbres y frutas;1.43;1.62;1.35;10.23
CENTRO;Entre Ríos;Cereales;734.33;796.6;380.76;619.7
CENTRO;Entre Ríos;Carnes y sus preparados;379.63;482.95;274.47;296.29
CENTRO;Entre Ríos;Productos lácteos;61.55;76.71;50.67;73.22
CENTRO;Entre Ríos;Productos químicos y conexos;89.62;86.46;76.12;62.94
CENTRO;Entre Ríos;Semillas y frutos oleaginosos;126.73;202.11;69.98;61.18
NEA;Formosa;Cereales;20.81;16.41;12.28;29.24
NEA;Formosa;Otros productos de origen animal;0;0;0;0
NEA;Formosa;Semillas y frutos oleaginosos;0.73;2.43;0.81;2.49
NEA;Formosa;Fibras de algodón;1.96;1.88;0.63;0.48
NEA;Formosa;Extractos curtientes y tintóreos;0;0;0;0
NOA;Jujuy;Productos químicos y conexos;116.46;558.71;630.72;402.24
NOA;Jujuy;Minerales metalíferos, escorias y cenizas;238.19;0;276.12;358.49
NOA;Jujuy;Azúcar, cacao y artículos de confitería;0;33.35;0;145.28
NOA;Jujuy;Tabaco sin elaborar;0;30.23;63.55;69.08
NOA;Jujuy;Papel, cartón, impresos y publicaciones;14.31;13.41;7.68;0
PATAGONIA;La Pampa;Cereales;544.86;794.12;475.37;641.58
PATAGONIA;La Pampa;Carnes y sus preparados;132.95;206.85;169.83;200.76
PATAGONIA;La Pampa;Semillas y frutos oleaginosos;117.77;135.82;74.35;113.39
PATAGONIA;La Pampa;Petróleo crudo;0;23.58;23.71;32.88
PATAGONIA;La Pampa;Miel;23.02;26.01;19.3;19.51
NOA;La Rioja;Preparados de hortalizas, legumbres y frutas;40.39;53.31;58.24;86.92
NOA;La Rioja;Papel, cartón, impresos y publicaciones;60.02;70.19;51.21;51.27
NOA;La Rioja;Grasas y aceites;30.62;30.43;65.23;44.16
NOA;La Rioja;Bebidas, líquidos alcohólicos y vinagre;12.67;10.93;7.38;10.16
NOA;La Rioja;Frutas secas o procesadas;3.32;5.13;4.16;9.19
CUYO;Mendoza;Bebidas, líquidos alcohólicos y vinagre;815.87;785.86;649.85;676.99
CUYO;Mendoza;Preparados de hortalizas, legumbres y frutas;194.47;200.18;182.52;251.49
CUYO;Mendoza;Hortalizas y legumbres sin elaborar;113.06;104.11;89.04;142.12
CUYO;Mendoza;Materias plásticas y sus manufacturas;107.29;113.73;51.91;135.87
CUYO;Mendoza;Frutas frescas;51.19;41.15;44.07;59.5
NEA;Misiones;Café, té, yerba mate y especias;137.35;152.09;145.08;159.3
NEA;Misiones;Papel, cartón, impresos y publicaciones;151.34;142.31;110.52;131.14
NEA;Misiones;Tabaco sin elaborar;36.05;30.49;21.82;27.2
NEA;Misiones;Cereales;5.46;8.41;5.64;20.09
NEA;Misiones;Frutas frescas;4.47;2.89;2.01;2.36
PATAGONIA;Neuquén;Petróleo crudo;585.9;2228.31;2240.65;3107.43
PATAGONIA;Neuquén;Gas de petróleo y otros hidrocarburos gaseosos;111.02;668.52;704.19;554.06
PATAGONIA;Neuquén;Productos químicos y conexos;32.79;9.46;48.19;59.74
PATAGONIA;Neuquén;Frutas frescas;30.96;27.16;30.69;35.55
PATAGONIA;Neuquén;Carburantes;0;5.33;10.56;18.66
OTRO;Otro;Extranjero;694.4;717.77;641.62;550.51
OTRO;Otro;Plataforma continental;397.09;453.13;449.55;542.29
OTRO;Otro;Indeterminado;977.35;269.99;384.57;520.12
PATAGONIA;Río Negro;Frutas frescas;241.56;212.95;233.98;277.42
PATAGONIA;Río Negro;Petróleo crudo;60.99;121.83;122.5;169.89
PATAGONIA;Río Negro;Preparados de hortalizas, legumbres y frutas;44.95;30.34;47.17;59.49
PATAGONIA;Río Negro;Azúcar, cacao y artículos de confitería;0.07;2.52;0;0
PATAGONIA;Río Negro;Gas de petróleo y otros hidrocarburos gaseosos;0;0;0;0
NOA;Salta;Cereales;322.54;324.26;208.21;372.13
NOA;Salta;Piedras, metales preciosos y sus manufacturas;167.56;213.85;204.28;218.82
NOA;Salta;Tabaco sin elaborar;165.4;241.39;177.14;211.91
NOA;Salta;Hortalizas y legumbres sin elaborar;313.65;261.35;252.87;162.69
NOA;Salta;Productos químicos y conexos;53.08;79.1;102.66;89.74
CUYO;San Juan;Piedras, metales preciosos y sus manufacturas;0;0;808.37;0
CUYO;San Juan;Frutas secas o procesadas;45.35;43.29;39.84;70.65
CUYO;San Juan;Preparados de hortalizas, legumbres y frutas;59.99;66.71;46.39;69.59
CUYO;San Juan;Grasas y aceites;33.91;24.55;70.25;67.37
CUYO;San Juan;Productos químicos y conexos;49.55;61.28;51.01;65.69
CUYO;San Luis;Cereales;353.58;315.84;206.38;207.39
CUYO;San Luis;Carnes y sus preparados;0;0;0;0
CUYO;San Luis;Semillas y frutos oleaginosos;50.22;61.28;34.86;74.76
CUYO;San Luis;Preparados de hortalizas, legumbres y frutas;45.43;0;0;39.39
CUYO;San Luis;Papel, cartón, impresos y publicaciones;37.58;45.05;34.74;39
PATAGONIA;Santa Cruz;Piedras, metales preciosos y sus manufacturas;1472.26;1583.61;1520.2;1616.15
PATAGONIA;Santa Cruz;Petróleo crudo;164.49;165.06;165.97;230.18
PATAGONIA;Santa Cruz;Minerales metalíferos, escorias y cenizas;0;0;0;0
PATAGONIA;Santa Cruz;Pescados y mariscos sin elaborar;253.81;252.22;214.19;142.22
PATAGONIA;Santa Cruz;Gas de petróleo y otros hidrocarburos gaseosos;0;0;0;0
CENTRO;Santa Fe;Desperdicios de la industria alimentaria;6928.98;6932.54;4535.26;6125.78
CENTRO;Santa Fe;Grasas y aceites;4416.93;4319.8;2475.62;3709.22
CENTRO;Santa Fe;Cereales;1686.77;2036.36;935.38;934.1
CENTRO;Santa Fe;Carnes y sus preparados;787.84;929.87;764.92;811.18
CENTRO;Santa Fe;Productos químicos y conexos;1460.29;1752.88;534.92;625.11
NOA;Santiago del Estero;Cereales;925.1;1054.69;638.14;897.01
NOA;Santiago del Estero;Semillas y frutos oleaginosos;224.57;255.23;82.74;229.05
NOA;Santiago del Estero;Hortalizas y legumbres sin elaborar;80.71;71.73;70.93;70.76
NOA;Santiago del Estero;Fibras de algodón;89.01;85.17;28.73;56.37
NOA;Santiago del Estero;Carnes y sus preparados;54.84;61.32;53.5;54.63
PATAGONIA;Tierra del Fuego;Petróleo crudo;147.86;145.41;146.22;202.78
PATAGONIA;Tierra del Fuego;Gas de petróleo y otros hidrocarburos gaseosos;80.31;103.88;78.89;95.86
PATAGONIA;Tierra del Fuego;Pescados y mariscos sin elaborar;48.65;78.65;54.2;59.86
PATAGONIA;Tierra del Fuego;Materias plásticas y sus manufacturas;34.16;29.45;28.88;23.95
PATAGONIA;Tierra del Fuego;Máquinas y aparatos, material eléctrico;8.31;3.94;0.3;18.61
NOA;Tucumán;Productos químicos y conexos;143.67;190.01;163.15;206.47
NOA;Tucumán;Material de transporte terrestre;162.39;0;0;0
NOA;Tucumán;Azúcar, cacao y artículos de confitería;81.18;91.09;41.11;134.13
NOA;Tucumán;Preparados de hortalizas, legumbres y frutas;120.83;106.24;100.23;118.97
NOA;Tucumán;Frutas frescas;168.24;124.92;114.32;99.57
